"Name","Definition","Status","Related Terms","Synonyms","Acronym","Experts","Stewards","Resources","[Attribute][Business Glossary]Domain","[Attribute][Business Glossary]Equivalent Phrases","[Attribute][Business Glossary]System-Table-Field"
"Current period (posting period)","The current period is a self-contained part of the current fiscal year. In the most straightforward of cases, this period corresponds to the current calendar month; otherwise, the calendar days on which individual periods end are defined in Customizing.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","MDG-MBEW-LFMON"
"Supplier Vendor number","Specifies an alphanumeric key that uniquely identifies the vendor or creditor in the SAP system.  Referred to also as Business Partner","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Supplier","Vendor No","MDG-LFA1-LIFNR, MDG-BUT051-PARTNER1, MDG-BUT051-PARTNER2"
"Supply Assignment (ARun)","Supply Assignment (ARun) does an optimized assignment of existing stock to open sales order requirements. For example, if there is a stock shortage, ARun ensures an automatic assignment of the available stock to the open requirements based to your business requirements.
Use
The value of this field is proposed as default value in the article master for the DC during listing.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Site","","MDG-T001W-FSH_MG_ARUN_REQ"
"Cutting Indicator (APS)","Indicator If Plant Is A Cutting Plant","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Site","","APS-PLANT-CUTTING IND"
"Cfc Code (APS)","Cfc Code","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Site","","APS-PLANT-CFC CD"
"House Bank","All bank data is determined using this key.","Draft","","Short Key For A House Bank (AFS);House Bank;","","Teresa.Fisher@hanes.com: Sr Mgr Global Transacton Services;","Kimberly.Beardsley@hanes.com:Kim Beardsley-Customer Domain Lead;","","Customer","House Bank","MDG-KNB1-HBKID"
"PRODUCTION PLANT","A place where materials are produced or goods and services are provided","Approved","","","","","Charlie.Crews@hanes.com:Charlie Crews - Director, Enterprise Data & Governance;","","General","",""
"UOM Conversion Factor (IBP)","A conversion factor represents the numeric value or ratio that is used to relate one unit of measure to another. The conversion factor is an alternate value that is used to represent a unit of measure. You can use this alternate value to define an item order or transfer quantity and storeroom balance.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","IBP-Unit of Measure Conversion-UOMCONVERSIONFACTOR"
"Prod feature waistband","Product feature representing waistband","Approved","","","","Lane.Bryant@hanes.com:PRODUCT DEV Lane Bryant (Sr Mgr);","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","MDG-MARA-ZZPRODFEATURE_WAISTBAND"
"DISPUTE PROCESSING","When a dispute is assigned to the appropriate department, the research and investigation procedure is initiated","Approved","","","","","Charlie.Crews@hanes.com:Charlie Crews - Director, Enterprise Data & Governance;","","General","",""
"Purchasing Info Record Number of Days for Second Reminder-Expediter","Same as 1st Reminder","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Purchasing Info Record","","MDG-EINA-MAHN2"
"Case Bar Unit Indicator (APS)","All CASE_BAR_UNIT_IND are set to Y with the exception of UNW MENS/BOYS/TODDLe,PRINTABLES and ALL Corp Division Code which are set to N

Row#	CORP_DIVISION_CD	CORP_DIVISION_SHORT_DESC	CASE_BAR_UNIT_IND

1	30	UNW MENS/BOYS/TODDLE	N
2	35	PRINTABLES	N
3	AL	ALL	N
 ","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-STYLE-CASE_BAR_UNIT_IND"
"Lw Vendor No (APS)","Lawson Vendor Number","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Site","","APS-PLANT-LW VENDOR NO"
"Selection Rule For Payment Advices (AFS)","A selection field which is to lead to the clear identification of the open item is determined from the various fields of the payment advice item (document number, billing document number, reference document number, ...  ) according to the selection rule in each individual payment advice item.","Approved","","","","Teresa.Fisher@hanes.com: Sr Mgr Global Transacton Services;","Kimberly.Beardsley@hanes.com:Kim Beardsley-Customer Domain Lead;","","Customer","","AFS-KNB1-SREGL"
"Item group","This character string groups together items in a BOM. If you make item changes with a change number that has an effectivity type (such as serial number range), you can group these change statuses together into one logical unit.
Enter the same character string for all items of the item group.
If you define a template for item groups in Customizing for BOMs (modification parameters), the item group must conform to the template.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","MDG-STAS-IDPOS"
"MRP Controller (Materials Planner)","Specifies the number of the MRP controller or group of MRP controllers responsible for material planning for the material.","Approved","","","","Curtis.Gillispie@hanes.com:PROCUREMENT Curtis Gillispie (Dir);","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","MDG-MARC-DISPO"
"ORDER TYPE","Classification that differentiates production orders according to their purpose and helps determine how they are processed","Approved","","","","","Charlie.Crews@hanes.com:Charlie Crews - Director, Enterprise Data & Governance;","","General","",""
"Carry out subsequent listing","Indicator with which you set how the process of subsequent listing is to be carried out on plant level, if you want to fine tune the subsequent listing on group level.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Site","","MDG-WRF1-NLMATFB"
"Style Classification (IBP)","Style Classification

EX Values: Regular, non-regular

Note: Not applicable for Placeholder Products.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","IBP-Product-ZZSTYLECLASS"
"Email Address","Internet mail address, also called e-mail address.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Supplier","","MDG-ADR6-SMTP_ADDR, MDG-BUT051-SMTP_ADDRESS"
"Certificate Number","Number of the certificate issued in the country of origin (for instance the certificate of origin).","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Purchasing Info Record","","MDG-EINA-URZNR"
"Category Csw Code (APS)","The category CSW code is a marketing categorization.  
","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-STYLE_CSW-CATEGORY_CSW_CD"
"Date of last date shift","Date of last date shift","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","MDG-STKO-DVDAT"
"Blue Seal Complete (PLM)","This is the date on which aesthetic approval has been achieved for a garment, and after which sales samples may be requested.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill;","","Material-Product","","PLM-Product-hbiBlueSealDate"
"Inventory Group","Grouping of products of similar inventory type","Approved","","","","Rachel.Merrill@hanes.com:Rachel Merrill;","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","MDG-MARA-ZZINVGROUP"
"External Alternate Sku (APS)","External Cross Refernce Alternate Sku","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-EXTERNAL SKU XREF-EXTERNAL ALTERNATE SKU"
"INDIRECT TAX (VAT)","A tax levied on consumption of goods and services so HBI meets its indirect tax compliance requirements","Approved","","","","","Charlie.Crews@hanes.com:Charlie Crews - Director, Enterprise Data & Governance;","","General","",""
"Customer Sourcing Ratio (IBP)","SAP Customer Order Sourcing application helps enterprises make intelligent order sourcing decisions to deliver a great buying experience across sales channels. It does so by providing centralized access to availability information plus configurable sourcing strategies to optimize fulfillment plans. Ratio of the demand that can be supplied by the location (mainly relevant for the heuristic algorithms).

It is a value between 0 and 1. When you group by CUSTID and PRDID, this number must add up to 1.","Approved","","","","","Kimberly.Beardsley@hanes.com:Kim Beardsley-Customer Domain Lead;","","Customer","","IBP-Customer Source-CRATIO"
"Transportation Zone","the system automatically proposes a suitable route by using the transportation zone of the goods recipient in combination with other information about the delivery, such as the
◦Countries of origin and destination
◦ Shipping conditions
◦ Transportation group
In the USA, for example, you can define regional zones to correspond to the US postal zip codes.","Draft","","Transportation Zone;","","Paola.Marsal@hanes.com: Paola Marsal - Sr. Manager Customer Service;","Kimberly.Beardsley@hanes.com:Kim Beardsley-Customer Domain Lead;","","Customer","Transportation Zone","KNA1 - LZONE"
"Product Tier Level (IBP)","Indicates the Tier Level of the product.  Ex. Good, Better, Best, Premium

EX Values:  Good/Better/Best/Premium

Note: Not applicable for Placeholder Products.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","IBP-Product-ZZPRODUCTTIER"
"INTERCOMPANY NON-PRODUCT TRANSACTIONS","Transactions between related legal entities, defer from GL Journal Entries","Approved","","","","","Charlie.Crews@hanes.com:Charlie Crews - Director, Enterprise Data & Governance;","","General","",""
"Garments Per Inner Pack (APS)","The garments per inner pack is optional.  This field was previously known as style garments per box.
""	Garments Per Inner Pack- If the style is not an assortment, the garments per inner pack must be a multiple of the pack code and the garments per inner pack must divide evenly into the case quantity.  
  ","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-SKU_PUTUP-GARMENTS_PER_INNER_PACK, APS-SKU_REVISION-GARMENTS_PER_INNER_PACK"
"Authorization Group","The authorization group allows extended authorization protection for particular objects. The authorization groups are freely definable. The authorization groups usually occur in authorization objects together with an activity.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Supplier","","MDG-LFB1-BEGRU"
"INVENTORY DOCUMENT","A document used for planning and performing the physical inventory. Also used for entering the count data, analyzing the inventory and clearing any differences","Approved","","","","","Charlie.Crews@hanes.com:Charlie Crews - Director, Enterprise Data & Governance;","","General","",""
"Supplier Incoterm 2","Additional information for the primary Incoterm.","Approved","","","","Kennedy.Waiguru@hanes.com:Kennedy Waiguru - Sr Procurement Analyst;","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Supplier","","MDG-LFM1-INCO2"
"FISCAL PERIOD","A fiscal period is based on the fiscal year calendar (total of 12 months)","Approved","","","","Teresa.Fisher@hanes.com: Teresa Fisher;","Jennifer.Shotton@hanes.com: Jennifer Shotton - Director, Finance Integration Optimization;","","General; Finance","",""
"Case Base Unit Indicator (APS)","All case base unit indicators are set to Y with the exception of Casual wear jersey, Attributed Jersey, Printables and All Corporate Division codes.y","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-STYLE-CASE_BASE_UNIT_IND"
"Indicator: item relevant to engineering","Indicates that this item is relevant to the area responsible for producing a functional design for production.
This item status indicator is used to control:
�Subsequent processing in related application areas
�Selection of items in the BOM explosion
Whether you can set and remove this indicator, or whether the system makes an unchangeable setting, depends on the BOM usage you selected on the initial screen. You can find further information in Customizing for bills of material under General Data -> BOM Usage -> Define BOM usages.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","MDG-STPO-SANKO"
"Material-Product Profit Center","Key which together with the controlling area uniquely identifies a profit center.
Represents a combination of Product Group/Brand/COT/Gender/Age attributes.","Approved","","","","Melissa.Doll@hanes.com:PRODUCT DEV-Activewear Melissa Doll (Sr Mgr);Bernadette.Ledbetter-Booker@hanes.com:PRODUCT MGT-Champion Bernadette Booker (Sr Mgr);","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","Profit Center","MDG-CEPC-PRCTR"
"Transportation Group","A grouping of materials that share the same route and transportation requirements. Transportation groups are used for automatic route scheduling during sales order and delivery note processing.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","MDG-MARA-TRAGR"
"Closure (PLM)","This characteristic describes a feature of a specfic product related to how the garment achieves a secure fit.  Sub-divided by product category.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill;","","Material-Product","","PLM-Product-hbiErpClosure, PLM-Colorway-hbiClosure"
"Incoterm 1","Commonly used trading terms that comply with the standards established by the International Chamber of Commerce (ICC). Use Incoterms specify internationally recognized procedures that the shipper and the receiving party must follow for the shipping transaction to be completed successfully.","Approved","","","","Paola.Marsal@hanes.com: Sr. Mgr Customer Service;","Kimberly.Beardsley@hanes.com:Kim Beardsley-Customer Domain Lead;","","Customer","","MDG-KNVV-INCO1"
"Revision  Description (APS)","This is a free format field to describe the revision.   ","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-SKU_REVISION-REVISION_DESC"
"Purch Org data flagged for deletion","Indicates whether or not the info record is earmarked for deletion at the purchasing org level.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Purchasing Info Record","","MDG-EINE-LOEKZ"
"Site Listing procedure for store or other assortment categories","Procedure to be used to list materials for store assortments. The listing procedure determines which checks are made when materials or assortment modules are assigned to assortments.
You can also define a fixed listing procedure for the assortment itself. This listing procedure then takes precedence over the procedure entered on the Listing data screen. However, you can configure the listing procedure such that the system ignores assortment-specific listing procedures (for example, for a general listing in the case of promotions).","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Site","","MDG-MVKE-LSTFL, MDG-WRF1-LSTFL"
"Supplier Automatic PO","Allows you to automatically generate purchase orders from purchase requisitions if the requisition has been assigned to a supplier (source of supply).","Approved","","","","Kennedy.Waiguru@hanes.com:Kennedy Waiguru - Sr Procurement Analyst;","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Supplier","Auto PO, Auto Purchase Order, Automatic Purchase Order","MDG-LFM1-KZAUT"
"Shipping Instructions","A shipping instruction (SI) is a document, provided by a customer to the carrier, containing details of the cargo to be shipped and the requirements for its physical transportation. The SI contains basic information that is required to draw up the bill of lading (B/L), such as: Booking number or B/L number.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Purchasing Info Record","","MDG-EINE-EVERS"
"MRP Type Indicator (IBP)","SAP MRP type also determines how and when the material is to be planned or to be available for the requirement. MRP procedure used for planning a material is determined with the help of SAP MRP type and this also determines the value or settings to be maintained in the other MRP views. Material Master","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","IBP-Location Product-MRPTYPE"
"OPERATION","A work step to be carried out during production. An operation can consist of numerous activities.","Approved","","","","","Charlie.Crews@hanes.com:Charlie Crews - Director, Enterprise Data & Governance;","","General","",""
"Size Short Desc (IBP)","Indicates the Size Short Desc of the product.

Note: Not applicable to Placeholder Product IDs

EX Values: SMALL, MEDIUM, LARGE","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","IBP-Product-ZZSIZEDESCR"
"Tolerance Group For The Business Partner/G/L Account (AFS)","Freely definable group definition for the business partners Customer and Vendor or for G/L accounts. the tolerance groups are unique within a company code.","Approved","","","","Teresa.Fisher@hanes.com: Sr Mgr Global Transacton Services;","Kimberly.Beardsley@hanes.com:Kim Beardsley-Customer Domain Lead;","","Customer","","AFS-KNB1-TOGRU"
"ROUTE TABLE","Route table contains specific transit time between any two regions for a specific mode of transport","Approved","","","","","Charlie.Crews@hanes.com:Charlie Crews - Director, Enterprise Data & Governance;","","General","",""
"Tax Classification","Tax category/tax classification for materials is specific to the sales org/div/okant keve that defines the country-specific taxes during pricing.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","MDG-MLAN-TAX1"
"Inactive Date (APS)","A system OF letters, numbers, OR symbols into which normal language is converted to allow information to be communicated secretly, briefly, or electronically that an specific object in a system is active or inactive.","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-SKU_PUTUP-INACTIVE_DATE"
"Plant Level Relevant","Indicator denoting that data can be kept in the supplier master record at plant level.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Supplier","","MDG-LFA1-WERKR"
"Indicator: item relevant to sales","This indicator shows that this item is relevant to the sales and distribution area of a company.
For example, in sales order processing vor variant products, you see items that are relevant to sales as order items for the header material.
This item status indicator is used to control:
�subsequent processing in related application areas
�which items are selected in the BOM explosion
The indicator does not interrupt the explosion of the BOM to the lowest lever. There are two steps to the BOM explosion:
�First, the system explodes the entire BOM, regardless of the indicators selected to restrict items. You do not see the result of this explosion on the screen.
�Second, the system reads the indicators selected to restrict items, such as the Relevant to sales indicator.
This status indicator works as a filter. The explosion result you see on the screen only includes the items that fulfil the selection criteria. In this case, only the items that are relevant to sales are shown.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","MDG-STPO-RVREL"
"Leg Div (AFS)","the Leg division is the Business Unit","Approved","","","","Paola.Marsal@hanes.com: Sr. Mgr Customer Service;","Kimberly.Beardsley@hanes.com:Kim Beardsley-Customer Domain Lead;","","Customer","","AFS-ZTSA_CUST_XREF-ZZDLEGDIV"
"GOODS MOVEMENT","Goods movements are business transactions that result in the a change in the stock","Approved","","","","","Charlie.Crews@hanes.com:Charlie Crews - Director, Enterprise Data & Governance;","","General","",""
"City Code","This key is used for classifying cities from a tax point of view. This is a finer sub-division than the county code.
Currently the key is used only in the USA for handling city tax.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Site","","MDG-T001W-CITYC"
"Life Cycle  Code (APS)","The life cycle code at the sku level is laying the foundation to be able to indicate the product status (active, closeout, and phaseout) at a sku level instead of a path level or style/color level.  
""	Life Cycle Code- Only Champion skus can be set to phaseout.  
""	Life Cycle Code- For Casualwear, all sizes for a given style/color must be moved to closeout together.  
""	Life Cycle Code- At this time, it is still necessary to capture the product status for Champion at the Champion path level. 
 ","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-SKU-LIFE_CYCLE_CD"
"General Item category group","Materials grouping that helps the system to determine item categories during sales document processing. If a group is configured specific to distribution channel, it has priority if the corresponding activity is distribution channel-dependent.
The system automatically suggests an item type in the document depending on the item category group you assign and the sales document type you are processing.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","MDG-MARA-MTPOS_MARA"
"Color","Indication of product color","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","MDG-MARA-FSH_MG_AT3"
"Site Plant","A place where materials are produced or goods and services are provided. Also, a DC from which an order ships
Key uniquely identifying a plant.
An organizational unit within the company code where material is produced, purchased, and planned.
Definition of a plant depends on its use. It can be defined as a location that holds valuated stock, or as an organizational unit that is central to production planning, or a location that contains.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Site","Plant, Site, Store, Distribution Center, Retail Store, Factory, Manufacturing Facility","MDG-MARD-WERKS"
"item relevant to sales Indicator","This indicator shows that this item is relevant to the sales and distribution area of a company.
For example, in sales order processing vor variant products, you see items that are relevant to sales as order items for the header material.
This item status indicator is used to control:
�subsequent processing in related application areas
�which items are selected in the BOM explosion
The indicator does not interrupt the explosion of the BOM to the lowest lever. There are two steps to the BOM explosion:
�First, the system explodes the entire BOM, regardless of the indicators selected to restrict items. You do not see the result of this explosion on the screen.
�Second, the system reads the indicators selected to restrict items, such as the Relevant to sales indicator.
This status indicator works as a filter. The explosion result you see on the screen only includes the items that fulfil the selection criteria. In this case, only the items that are relevant to sales are shown.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","MDG-STPO-RVREL"
"Supplier Region","Region (State, Province, County)&nbsp; In some countries, the region forms part of the address. The meaning depends on the country. The automatic address formatting function prints the region in addresses in the USA, Canada, Italy, Brazil or Australia, and the county in Great Britain.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Supplier","","MDG-LFA1-REGION, MDG-ADRC-REGION"
"Safety Stock Policy Indicator (IBP)","Attribute that affects how the IO Algorithm handles risk pooling; F - for first come, first serve, where all demand streams get the highest service level (default if missing or non-supported letter), D - for divide, which calculates safety stock for each demand stream independently and adds them up (no pooling), I - for independent demand only, which calculates safety stock for independent demand streams only (for example, plants with limited capacity)","Approved","","","","","dean.spriegel@hanes.com:Dean Spriegel - Planning Domain Lead;","","Planning","","IBP-Location Product-SAFETYSTOCKPOLICY"
"Fiscal Year of Current Period","Defines a settlement period which can be divided into 12-16 posting periods.
In the simplest case, the fiscal year and the calendar year will match. Otherwise, the calendar days on which individual posting periods end must be defined. This can be done at the same time for several company codes or individually for each company code.
Different variants of fiscal years can be defined in table T009. One of the variants from table 009 must be defined in table T001 for every company code that does not work with the calendar year.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","MDG-MBEW-LFGJA"
"Short Key For A House Bank (AFS)","All bank data is determined using this key.","Draft","","House Bank;","","Teresa.Fisher@hanes.com: Sr Mgr Global Transacton Services;","Kimberly.Beardsley@hanes.com:Kim Beardsley-Customer Domain Lead;","","Customer","House Bank","AFS-KNB1-HBKID"
"Supplier Identification Type","The identification type is for classifying identification numbers, e.g. legacy system identifier.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Supplier","","MDG-BUT0ID-TYPE"
"Centrally imposed purchasing block","Indicates whether or not the supplier master record is blocked for all departments (that is, whether or not posting to this record is allowed at all).","Approved","","","","Kennedy.Waiguru@hanes.com:Kennedy Waiguru - Sr Procurement Analyst;","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Supplier","Central Purch Block","MDG-LFA1-SPERM"
"Central Archiving Flag","Establishes if the business partner is meant to be archived.
If the indicator is set, the relevant business partner can be archived from the view of the business partner administration.
If the check of the data to be archived shows, for example,  that there are still active business transactions the archiving of the business partner data is prevented even if the indicator is set.
�If the indicator is not set, the business partner will not be taken into consideration during archiving.","Approved","","","","Charlie.Crews@hanes.com:Charlie Crews - Dir Enterprise Data & Governance;","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Supplier","Archiving Indicator","MDG-BUT000-XDELE"
"Global identification of an item's change status","Global identification of an item's change status","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","MDG-STPO-GUIDX"
"Case Invoice Unit Indicator (APS)","All CASE_INVOICE_UNIT_IND are set to Y with the exception of UNW MENS/BOYS/TODDLe,PRINTABLES and ALL Corp Division Code which are set to N

Row#	CORP_DIVISION_CD	CORP_DIVISION_SHORT_DESC	CASE_INVOICE_UNIT_IND

1	30	UNW MENS/BOYS/TODDLE	N
2	35	PRINTABLES	N
3	AL	ALL	N
","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-STYLE-CASE_INVOICE_UNIT_IND"
"Train Station (AFS)","Free flowing field used to denote B2B type customers","Approved","","","","Paola.Marsal@hanes.com: Sr. Mgr Customer Service;","Kimberly.Beardsley@hanes.com:Kim Beardsley-Customer Domain Lead;","","Customer","","AFS-KNA1-BAHNS"
"Unlimited Overdelivery Allowed","Flag should not be checked for articles","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Purchasing Info Record","","MDG-EINE-UEBTK"
"STOCK TYPES","Every inventory movement is linked with a specific stock type (e.g. unrestricted, blocked, quality)","Approved","","","","","Charlie.Crews@hanes.com:Charlie Crews - Director, Enterprise Data & Governance;","","General","",""
"Block from","The date from which the block is to be valid.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Site","","MDG-WRF1-SPDAB"
"User Id (APS)","A unique identifier assisgned to HBI employees/contractors to assist in tracking activities 


","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-ATTRIBUTE-USER_ID, APS-SKU-USER_ID, APS-ITEM_SIZE-USER_ID, APS-COLOR-USER_ID, APS-BILL_OF_MTRLS-USER_ID"
"IDOC COCKPIT","A user-friendly interaction interface allowing for the monitoring of messages and correction of failed IDOCs","Approved","","","","","Charlie.Crews@hanes.com:Charlie Crews - Director, Enterprise Data & Governance;","","General","",""
"GL ACCOUNT RECONCILIATION","The reconciliation of the GL accounts","Approved","","","","Teresa.Fisher@hanes.com: Teresa Fisher;","Jennifer.Shotton@hanes.com: Jennifer Shotton - Director, Finance Integration Optimization;","","General; Finance","",""
"Preferred Vendor","Only relevant to MDG and not distributed anywhere","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Supplier","","MDG-LFA1-ZZPRFRD"
"X Size  Code (APS)","The x-size is the pricing group.  Normal values are:
 	0	S-XL
 	1	2XL
 	2	3XL
 	3	4XL
 	Etc
","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-SKU-X_SIZE_CD"
"DISPUTE MANAGEMENT PROCESS","Facilitates the process in case of short payments and / or residual items. Once the dispute is setup within dispute management, it helps provide the tools needed for investigation and resolution.","Approved","","","","","Charlie.Crews@hanes.com:Charlie Crews - Director, Enterprise Data & Governance;","","General","",""
"Purchasing Info Record Incoterm 2","Additional information for the primary Incoterm.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Purchasing Info Record","","MDG-EINE-INCO2"
"PRICING PROCEDURE","Used to define different pricing conditions and calculations.  IE wholesale, ecomm","Approved","","","","","Charlie.Crews@hanes.com:Charlie Crews - Director, Enterprise Data & Governance;","","General","",""
"Purchasing Document Category","The purchasing document category allows differentiation between the various kinds of purchasing document (e.g. purchase order, scheduling agreement, contract). The purchasing document category determines the applicable number range, for example, and the fields that are offered to you for maintenance.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Source List","","MDG-EORD-VRTYP"
"Post to Inspection Stock","Specifies whether the material is subject to quality inspection (without inspection lot processing) and whether a goods receipt is posted to inspection stock. The indicator is copied to purchase order items and goods receipt items as a default value.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","MDG-MARC-INSMK"
"ZIRC","X-Price Pricing Condition","Approved","","","","","Charlie.Crews@hanes.com:Charlie Crews - Director, Enterprise Data & Governance;","","General","",""
"Activating Requirements Planning","Inidicator that allows the execution of requirements planning in the plant as total planning and also allows the execution of single-item, multi-level planning.
If you do not set this indicator, you can only plan materials using single-item, single-level planning at this plant.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Site","","MDG-T001W-BEDPL"
"Inherited node number of BOM item","Inherited node number of BOM item","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","MDG-STAS-STVKN, MDG-STPO-STVKN"
"Customer Classification (AFS)","Specifies a classification of the customer (for example, classifies the customer as a bulk purchaser). ","Approved","","","","Paola.Marsal@hanes.com: Sr. Mgr Customer Service;","Kimberly.Beardsley@hanes.com:Kim Beardsley-Customer Domain Lead;","","Customer","","AFS-KNA1-KUKLA"
"Name 4","Name 4 of the customer/vendor address","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Supplier","","MDG-LFA1-NAME4, MDG-ADRC-NAME4, MDG-BUT000-NAME_ORG4"
"Goods Receipt Processing Time in Days","Number of workdays required after receiving the material for inspection and placement into storage. It is used in determining the availability date.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","MDG-MARC-WEBAZ"
"Approved Payment Term","Approved Payment Term","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Supplier","","MDG-LFM1-ZZAPRPAY"
